set,lvl,end,start,diff,stimulus,ptcp,accuracy
1,10,29317,28807,3.83458646616541,2,4,0
1,11,31842,31366,3.57894736842105,1,4,0
1,12,34008,33575,3.25563909774436,3,4,0
1,13,36615,36142,3.55639097744361,2,4,0
1,14,38836,38358,3.59398496240602,1,4,0
1,16,44900,44471,3.22556390977444,1,4,0
1,17,47291,46805,3.65413533834586,1,4,0
1,18,49694,49105,4.42857142857143,3,4,0
1,19,52018,51590,3.21804511278195,3,4,0
1,21,60383,59944,3.30075187969925,3,4,0
1,22,62813,62383,3.23308270676692,3,4,0
1,23,64943,64467,3.57894736842105,3,4,0
1,24,67172,66726,3.35338345864662,2,4,0
1,25,69560,69133,3.21052631578947,1,4,0
1,26,71835,71328,3.81203007518797,2,4,0
1,27,74252,73775,3.58646616541353,1,4,0
1,28,76610,76177,3.25563909774436,1,4,0
1,30,83894,83355,4.05263157894737,3,4,0
1,31,86074,85632,3.32330827067669,2,4,0
1,32,88675,87990,5.15037593984962,3,4,0
1,33,91137,90605,4,3,4,0
2,0,108469,108034,3.27067669172932,1,4,0
2,2,113663,113164,3.75187969924812,1,4,0
2,3,115833,115342,3.69172932330827,1,4,0
2,4,118239,117542,5.2406015037594,2,4,0
2,5,120471,119955,3.8796992481203,1,4,1
2,6,122981,122379,4.52631578947368,3,4,0
2,7,125199,124678,3.91729323308271,2,4,0
2,8,127406,126915,3.69172932330827,1,4,1
2,10,134007,133447,4.21052631578947,1,4,0
2,11,136370,135851,3.90225563909774,3,4,0
2,12,138829,138353,3.57894736842105,3,4,0
2,13,140976,140487,3.67669172932331,2,4,0
2,14,143146,142645,3.76691729323308,2,4,0
2,15,145454,144933,3.91729323308271,3,4,1
2,17,150147,149661,3.65413533834586,1,4,0
2,18,152370,151839,3.99248120300752,3,4,0
2,19,154681,154202,3.6015037593985,2,4,0
2,20,157003,156505,3.74436090225564,3,4,0
2,21,159268,158765,3.78195488721805,2,4,0
2,23,169264,168774,3.68421052631579,3,4,0
2,24,171442,170953,3.67669172932331,1,4,0
2,25,174208,173757,3.39097744360902,1,4,0
2,26,176430,175905,3.94736842105263,1,4,0
2,27,178723,178208,3.87218045112782,3,4,0
2,28,181092,180573,3.90225563909774,3,4,1
2,29,183560,183078,3.62406015037594,2,4,0
2,30,185759,185300,3.45112781954887,2,4,0
2,31,189250,188762,3.66917293233083,3,4,0
2,32,191546,191044,3.77443609022556,1,4,0
2,33,193799,193289,3.83458646616541,3,4,0
2,34,195979,195487,3.69924812030075,3,4,0
3,0,206528,206072,3.42857142857143,3,4,0
3,1,208815,208347,3.5187969924812,1,4,0
3,2,210957,210522,3.27067669172932,2,4,0
3,3,213221,212790,3.2406015037594,3,4,0
3,4,215451,214925,3.95488721804511,3,4,0
3,5,217589,217140,3.37593984962406,3,4,0
3,6,219794,219348,3.35338345864662,3,4,0
3,7,221919,221484,3.27067669172932,3,4,0
3,8,224123,223688,3.27067669172932,2,4,0
3,9,226322,225887,3.27067669172932,1,4,0
3,10,228516,228088,3.21804511278195,1,4,0
3,11,230925,230406,3.90225563909774,3,4,0
3,12,233251,232735,3.8796992481203,1,4,0
3,13,235368,234921,3.3609022556391,2,4,0
3,14,237590,237136,3.41353383458647,2,4,0
3,15,240239,239804,3.27067669172932,1,4,0
3,16,242948,242516,3.24812030075188,2,4,0
3,17,245068,244635,3.25563909774436,2,4,0
3,18,247627,247189,3.29323308270677,1,4,0
3,19,249840,249398,3.32330827067669,2,4,0
3,20,252093,251663,3.23308270676692,3,4,0
3,21,254823,254297,3.95488721804511,2,4,0
3,23,259783,259333,3.38345864661654,3,4,0
3,24,262026,261586,3.30827067669173,3,4,1
3,25,264656,264222,3.26315789473684,1,4,0
3,26,266972,266540,3.24812030075188,1,4,0
3,28,273357,272923,3.26315789473684,3,4,0
3,29,275911,275480,3.2406015037594,3,4,0
3,30,279669,279235,3.26315789473684,2,4,0
3,31,282294,281811,3.63157894736842,1,4,0
3,32,284596,284068,3.96992481203007,2,4,0
3,33,286971,286497,3.56390977443609,3,4,0
3,34,289157,288724,3.25563909774436,1,4,0
1,0,2255,1824,3.2406015037594,3,5,0
1,1,4355,3920,3.27067669172932,2,5,0
1,3,10253,9825,3.21804511278195,1,5,0
1,4,12643,12219,3.18796992481203,3,5,0
1,5,15157,14723,3.26315789473684,2,5,0
1,6,17468,17042,3.20300751879699,3,5,0
1,7,19593,19164,3.22556390977444,3,5,0
1,8,21749,21321,3.21804511278195,3,5,0
1,10,28392,27969,3.18045112781955,1,5,0
1,11,30998,30519,3.6015037593985,1,5,0
1,12,33368,32944,3.18796992481203,2,5,0
1,13,35896,35481,3.1203007518797,2,5,0
1,14,37973,37538,3.27067669172932,1,5,0
1,15,40135,39613,3.92481203007519,1,5,0
1,16,42457,42019,3.29323308270677,1,5,0
1,17,45576,45139,3.28571428571429,2,5,0
1,18,47754,47303,3.39097744360902,3,5,1
1,19,50953,50529,3.18796992481203,3,5,0
1,20,53225,52795,3.23308270676692,1,5,0
1,21,56184,55416,5.77443609022556,1,5,1
1,22,63099,62664,3.27067669172932,2,5,0
1,23,65329,64902,3.21052631578947,3,5,0
1,24,67635,67147,3.66917293233083,2,5,0
1,25,71132,70670,3.47368421052632,2,5,0
1,26,73351,72903,3.36842105263158,3,5,1
1,28,81179,80737,3.32330827067669,3,5,0
1,29,85293,84845,3.36842105263158,3,5,0
1,30,88763,88321,3.32330827067669,1,5,1
1,31,92574,91784,5.93984962406015,2,5,0
1,32,95997,95548,3.37593984962406,2,5,0
